item_number,location_no,size_id,value,loc_width,loc_depth,loc_height,case_width,case_length,case_height
91562,E1610-1-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,15.9,13.1,10.8
81438,E0714-3-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,15.9,7.2,9.0
66089,F0317-5-2,140403,[New]A2(RSB10),40.00,48.00,48.00,17.0,9.9,8.5
66089,F0403-2-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,17.0,9.9,8.5
66089,E1502-4-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,17.0,9.9,8.5
38080,F0205-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,17.1,13.4,5.9
38080,E0307-3-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,17.1,13.4,5.9
38080,E0521-1-2,140551,[Temp]C3a RSB2,40.00,30.00,18.00,17.1,13.4,5.9
105606,F0214-4-2,140403,[New]A2(RSB10),40.00,48.00,48.00,16.3,13.6,16.4
105606,F0615-2-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,16.3,13.6,16.4
105606,F0921-5-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,16.3,13.6,16.4
105606,E1511-2-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,16.3,13.6,16.4
2098804,C5106-1-2,140488,[New]1/3MS RSB5,72.00,24.00,18.00,0.0,0.0,0.0
93728,F0518-3-2,140403,[New]A2(RSB10),40.00,48.00,48.00,8.4,6.0,1.0
93728,E0515-3-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,8.4,6.0,1.0
105349,E0215-2-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,12.9,18.7,7.7
105349,F1210-2-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,12.9,18.7,7.7
105349,E0602-3-2,140424,[New]D3b(RSB3),45.00,24.00,12.00,12.9,18.7,7.7
105349,E1608-4-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,12.9,18.7,7.7
97021,C1012-1-1,140221,[New]A2(RSB1),40.00,48.00,48.00,17.2,12.1,10.7
7099,D1011-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,11.6,14.0,4.8
7099,D0712-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,11.6,14.0,4.8
7099,C0512-3-2,140160,[New]CF1(RSB1),15.00,96.00,18.00,11.6,14.0,4.8
7099,D0514-3-2,140526,[New]Y2(RSB2),40.00,96.00,48.00,11.6,14.0,4.8
91756,F0421-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,20.5,13.6,7.6
91756,E0815-2-1,140433,[New]C3b(RSB3),45.00,30.00,18.00,20.5,13.6,7.6
91756,F0107-4-1,140368,[New]C3a(RSB10),40.00,48.00,18.00,20.5,13.6,7.6
105570,C0522-3-1,140160,[New]CF1(RSB1),15.00,96.00,18.00,0.0,0.0,0.0
106022,E1103-3-2,140433,[New]C3b(RSB3),45.00,30.00,18.00,15.6,11.3,12.7
107045,D0712-2-1,140403,[New]A2(RSB10),40.00,48.00,48.00,12.5,16.4,7.7
107045,D0913-2-2,140403,[New]A2(RSB10),40.00,48.00,48.00,12.5,16.4,7.7
107045,C0813-3-5,140382,[New]H1(RSB1),15.00,30.00,12.00,12.5,16.4,7.7
104723,F0405-5-2,140546,[New]B2a(RSB10),40.00,48.00,30.00,12.4,8.3,7.5
104723,E0714-3-1,140424,[New]D3b(RSB3),45.00,24.00,12.00,12.4,8.3,7.5
94279,D0820-2-1,140403,[New]A2(RSB10),40.00,48.00,48.00,20.0,15.1,10.3
94279,D0915-3-1,140403,[New]A2(RSB10),40.00,48.00,48.00,20.0,15.1,10.3
94279,C0810-3-4,140382,[New]H1(RSB1),15.00,30.00,12.00,20.0,15.1,10.3
21833,C0616-1-4,33150,[New]E3(RSB1),20.00,30.00,20.00,15.9,8.0,3.3
